epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,3769.55,1.32618,0.90426,0.92995,0.86378,0.8507,0.91592,0.66099,1.0415,0.54278,0.88776,0.000528318,0.000528318,0.000528318
99,3807.51,1.3555,0.91451,0.93458,0.85628,0.83283,0.92541,0.65791,1.04673,0.5542,0.88924,0.000520548,0.000520548,0.000520548
100,3845.64,1.34378,0.91534,0.93337,0.86381,0.83382,0.94184,0.67634,1.04271,0.54462,0.88957,0.000512775,0.000512775,0.000512775
101,3883.69,1.34729,0.8994,0.9287,0.88532,0.81346,0.91395,0.66182,1.043,0.53284,0.89067,0.000505,0.000505,0.000505
102,3921.92,1.35459,0.90244,0.93387,0.84382,0.87913,0.93295,0.67252,1.04713,0.52601,0.89308,0.000497225,0.000497225,0.000497225
103,3959.9,1.33907,0.90677,0.929,0.91234,0.8012,0.9248,0.66167,1.06713,0.52195,0.89458,0.000489452,0.000489452,0.000489452
104,3998.17,1.29781,0.8606,0.92363,0.86111,0.81929,0.94212,0.6706,1.0389,0.5326,0.89078,0.000481682,0.000481682,0.000481682
105,4036.32,1.314,0.87237,0.92694,0.86407,0.84194,0.93401,0.66784,1.0603,0.51956,0.88981,0.000473919,0.000473919,0.000473919
106,4074.51,1.29563,0.86734,0.92718,0.82164,0.86562,0.91962,0.65949,1.05417,0.51915,0.89234,0.000466163,0.000466163,0.000466163
107,4112.41,1.3072,0.85784,0.92127,0.82798,0.86662,0.92591,0.66572,1.0489,0.52066,0.89165,0.000458416,0.000458416,0.000458416
108,4150.37,1.28556,0.85318,0.92308,0.88738,0.81395,0.93304,0.66476,1.02983,0.5236,0.88777,0.000450682,0.000450682,0.000450682
109,4188.52,1.30203,0.87021,0.92339,0.86689,0.8212,0.94644,0.67239,1.05112,0.51542,0.88933,0.00044296,0.00044296,0.00044296
110,4226.67,1.30507,0.8663,0.92379,0.84387,0.83789,0.92695,0.66827,1.03201,0.5079,0.88573,0.000435254,0.000435254,0.000435254
111,4264.89,1.31614,0.85284,0.92177,0.89569,0.80325,0.9274,0.66572,1.04223,0.51181,0.88667,0.000427565,0.000427565,0.000427565
112,4302.89,1.29155,0.85882,0.921,0.8265,0.88047,0.95307,0.67495,1.03886,0.51276,0.88508,0.000419895,0.000419895,0.000419895
113,4341.12,1.30473,0.85225,0.92029,0.83428,0.8798,0.95014,0.67778,1.03003,0.51332,0.88564,0.000412246,0.000412246,0.000412246
114,4379.58,1.29819,0.82082,0.92306,0.82013,0.89189,0.95758,0.68799,1.03329,0.50003,0.88796,0.00040462,0.00040462,0.00040462
115,4417.92,1.28081,0.83322,0.91701,0.84172,0.88844,0.93416,0.68215,1.03792,0.5091,0.88683,0.000397019,0.000397019,0.000397019
116,4456.07,1.27706,0.82295,0.92095,0.85132,0.87118,0.93538,0.67291,1.03096,0.49554,0.88636,0.000389445,0.000389445,0.000389445
117,4494.08,1.28258,0.82954,0.9102,0.84717,0.85883,0.92919,0.67252,1.02762,0.49563,0.88474,0.000381899,0.000381899,0.000381899
118,4532.17,1.29561,0.83526,0.91804,0.85577,0.8655,0.91784,0.67185,1.02786,0.49849,0.88512,0.000374383,0.000374383,0.000374383
119,4570.35,1.28048,0.83994,0.91473,0.83907,0.86658,0.93699,0.67684,1.0265,0.50011,0.88303,0.000366899,0.000366899,0.000366899
120,4608.56,1.27281,0.81297,0.9191,0.81921,0.89429,0.93811,0.68068,1.0146,0.49295,0.8827,0.00035945,0.00035945,0.00035945
121,4646.53,1.28085,0.82374,0.9125,0.83764,0.88487,0.9562,0.67841,1.02895,0.48812,0.88594,0.000352037,0.000352037,0.000352037
122,4684.84,1.25738,0.79841,0.91647,0.89968,0.83864,0.95404,0.68438,1.01801,0.48913,0.88551,0.000344661,0.000344661,0.000344661
123,4724.06,1.25367,0.80597,0.91307,0.84142,0.87808,0.93665,0.6801,1.03423,0.48855,0.88469,0.000337325,0.000337325,0.000337325
124,4762.88,1.26689,0.81331,0.9119,0.82706,0.89603,0.95749,0.67964,1.03026,0.48445,0.88581,0.00033003,0.00033003,0.00033003
125,4801.49,1.26904,0.78932,0.91632,0.8309,0.88917,0.95942,0.68847,1.021,0.48896,0.88396,0.000322778,0.000322778,0.000322778
126,4839.84,1.24989,0.78834,0.91011,0.87376,0.86638,0.93943,0.6834,1.02456,0.48947,0.8851,0.000315572,0.000315572,0.000315572
127,4878.1,1.25075,0.77933,0.90866,0.88237,0.86047,0.94076,0.68501,1.02767,0.48215,0.88369,0.000308412,0.000308412,0.000308412
128,4916.52,1.26119,0.79797,0.91723,0.90948,0.84207,0.9388,0.68023,1.02574,0.48028,0.88519,0.0003013,0.0003013,0.0003013
129,4955.01,1.25946,0.79427,0.90916,0.87008,0.85308,0.93763,0.68889,1.01267,0.48659,0.88125,0.000294239,0.000294239,0.000294239
130,4993.38,1.25289,0.79758,0.91583,0.87057,0.88955,0.94044,0.68914,1.01159,0.48325,0.87899,0.00028723,0.00028723,0.00028723
131,5031.63,1.24465,0.76537,0.91246,0.89229,0.85468,0.9376,0.69011,1.00591,0.49282,0.87897,0.000280275,0.000280275,0.000280275
132,5070.05,1.24866,0.77956,0.91364,0.92792,0.79066,0.95275,0.68713,1.01019,0.48629,0.87911,0.000273375,0.000273375,0.000273375
133,5108.28,1.23297,0.77842,0.90621,0.90969,0.86392,0.94254,0.68563,1.02144,0.483,0.88135,0.000266532,0.000266532,0.000266532
134,5146.88,1.2354,0.76532,0.90658,0.88338,0.86024,0.93301,0.68286,1.0112,0.47983,0.88099,0.000259748,0.000259748,0.000259748
135,5185.21,1.22309,0.76115,0.90592,0.87101,0.87075,0.93699,0.69206,1.00522,0.46492,0.88085,0.000253024,0.000253024,0.000253024
136,5223.33,1.22108,0.76244,0.90649,0.89692,0.85594,0.94185,0.69479,1.00888,0.47842,0.8801,0.000246363,0.000246363,0.000246363
137,5261.85,1.22048,0.76337,0.9097,0.90518,0.84851,0.94168,0.69278,1.00636,0.47104,0.8809,0.000239766,0.000239766,0.000239766
138,5300.15,1.22355,0.76111,0.90127,0.89016,0.85689,0.93809,0.68986,1.00776,0.46734,0.87955,0.000233234,0.000233234,0.000233234
139,5338.81,1.21624,0.73567,0.90512,0.89038,0.86705,0.9406,0.68903,1.01333,0.46847,0.88063,0.000226769,0.000226769,0.000226769
140,5377.1,1.22474,0.75687,0.90478,0.86393,0.88835,0.94128,0.69555,1.00098,0.45514,0.88106,0.000220372,0.000220372,0.000220372
141,5415.47,1.21956,0.74456,0.90256,0.87883,0.87498,0.93587,0.68712,1.00318,0.46241,0.88071,0.000214046,0.000214046,0.000214046
142,5453.77,1.22558,0.75143,0.90332,0.88609,0.85297,0.93905,0.68358,1.00404,0.46824,0.88047,0.000207792,0.000207792,0.000207792
143,5492.26,1.24086,0.75192,0.90157,0.89496,0.84123,0.93516,0.68684,0.99942,0.45904,0.8787,0.000201611,0.000201611,0.000201611
144,5530.75,1.21151,0.75083,0.90117,0.89521,0.86945,0.94147,0.68716,1.00924,0.46523,0.88095,0.000195505,0.000195505,0.000195505
145,5568.97,1.22873,0.76486,0.90361,0.89106,0.86524,0.94144,0.68926,0.99987,0.46179,0.88051,0.000189475,0.000189475,0.000189475
146,5607.24,1.19495,0.73527,0.89746,0.9121,0.84409,0.93883,0.68784,1.00411,0.4642,0.87891,0.000183523,0.000183523,0.000183523
147,5645.48,1.21279,0.73668,0.8985,0.90151,0.87952,0.95473,0.68651,1.0123,0.46572,0.87979,0.000177651,0.000177651,0.000177651
148,5683.72,1.20277,0.72775,0.90217,0.9039,0.86042,0.9631,0.69366,1.00678,0.45645,0.88018,0.000171859,0.000171859,0.000171859
149,5721.96,1.20863,0.74232,0.90046,0.90846,0.85393,0.94446,0.69314,1.00952,0.4626,0.87954,0.000166149,0.000166149,0.000166149
150,5760.26,1.19728,0.74385,0.9037,0.90603,0.86534,0.94421,0.68959,1.01108,0.45251,0.88054,0.000160523,0.000160523,0.000160523
151,5798.57,1.20033,0.74934,0.89841,0.89069,0.87284,0.94491,0.69055,1.01034,0.45619,0.88057,0.000154982,0.000154982,0.000154982
152,5836.84,1.20463,0.71966,0.89762,0.87294,0.88199,0.94689,0.69661,0.99947,0.45787,0.87901,0.000149527,0.000149527,0.000149527
153,5875.27,1.17341,0.7215,0.89571,0.88109,0.88131,0.94304,0.69347,1.00532,0.4539,0.87989,0.000144161,0.000144161,0.000144161
154,5913.64,1.19488,0.73475,0.90121,0.87944,0.88011,0.93995,0.6886,1.00752,0.45496,0.87961,0.000138883,0.000138883,0.000138883
155,5951.98,1.1952,0.72694,0.89786,0.87162,0.87789,0.9419,0.69562,1.00376,0.44694,0.87852,0.000133695,0.000133695,0.000133695
156,5990.22,1.19078,0.72029,0.90182,0.83931,0.90923,0.94251,0.69301,1.00433,0.4468,0.87956,0.000128599,0.000128599,0.000128599
157,6028.58,1.21067,0.7326,0.90216,0.86781,0.90053,0.94279,0.69385,1.00447,0.44943,0.87944,0.000123596,0.000123596,0.000123596
158,6066.94,1.19981,0.72399,0.90153,0.89487,0.86732,0.94271,0.69276,1.00463,0.44064,0.87887,0.000118687,0.000118687,0.000118687
159,6105.64,1.20181,0.72261,0.89818,0.8847,0.87812,0.94214,0.69228,1.0015,0.44635,0.8785,0.000113873,0.000113873,0.000113873
160,6144.24,1.18169,0.70525,0.89179,0.87144,0.8912,0.96339,0.69495,1.00988,0.44382,0.87962,0.000109156,0.000109156,0.000109156
161,6182.73,1.19374,0.7323,0.89384,0.88309,0.89068,0.96216,0.70105,1.00145,0.44293,0.87955,0.000104537,0.000104537,0.000104537
162,6221.11,1.18592,0.72527,0.89684,0.86982,0.89713,0.96432,0.70069,0.99881,0.44832,0.87815,0.000100016,0.000100016,0.000100016
163,6259.37,1.19959,0.7154,0.89228,0.87668,0.89626,0.96758,0.70046,0.9986,0.44522,0.87836,9.55951e-05,9.55951e-05,9.55951e-05
164,6297.89,1.18051,0.70759,0.89095,0.8823,0.89314,0.94818,0.6998,0.99894,0.44278,0.87785,9.12754e-05,9.12754e-05,9.12754e-05
165,6336.29,1.16907,0.71416,0.89739,0.88704,0.89187,0.96696,0.69909,0.99935,0.4488,0.8784,8.70577e-05,8.70577e-05,8.70577e-05
166,6374.6,1.16022,0.69581,0.89436,0.88527,0.89317,0.94516,0.69196,1.00812,0.44529,0.87944,8.29431e-05,8.29431e-05,8.29431e-05
167,6412.86,1.17225,0.69608,0.89492,0.88171,0.88061,0.94434,0.69421,1.00103,0.44702,0.87861,7.89327e-05,7.89327e-05,7.89327e-05
168,6451.3,1.17791,0.71825,0.89433,0.87646,0.88967,0.94597,0.69626,0.99721,0.44283,0.87769,7.50274e-05,7.50274e-05,7.50274e-05
169,6489.96,1.15562,0.69786,0.88809,0.88546,0.88713,0.94625,0.6993,0.99413,0.44168,0.87785,7.12282e-05,7.12282e-05,7.12282e-05
170,6528.28,1.18784,0.7062,0.89899,0.90275,0.8686,0.94681,0.69846,0.99392,0.44577,0.87815,6.7536e-05,6.7536e-05,6.7536e-05
171,6566.89,1.17853,0.7017,0.89282,0.899,0.87338,0.96522,0.6964,0.99995,0.44495,0.87843,6.39518e-05,6.39518e-05,6.39518e-05
172,6605.68,1.16074,0.68094,0.88988,0.89506,0.87502,0.94574,0.69451,0.99791,0.44231,0.87799,6.04763e-05,6.04763e-05,6.04763e-05
173,6644.41,1.17818,0.69899,0.89242,0.89064,0.88084,0.94658,0.69543,0.99768,0.44271,0.87843,5.71106e-05,5.71106e-05,5.71106e-05
174,6683.32,1.17401,0.68012,0.89305,0.88505,0.88398,0.94602,0.69489,0.99873,0.44188,0.87841,5.38554e-05,5.38554e-05,5.38554e-05
175,6721.91,1.18757,0.71031,0.89948,0.88875,0.88117,0.94384,0.69528,0.9979,0.44453,0.87822,5.07115e-05,5.07115e-05,5.07115e-05
176,6760.33,1.16347,0.70631,0.88789,0.89923,0.87801,0.94533,0.69556,0.99663,0.4427,0.87832,4.76796e-05,4.76796e-05,4.76796e-05
177,6798.98,1.16697,0.68829,0.89591,0.9063,0.87139,0.94401,0.69487,0.99473,0.44126,0.87778,4.47606e-05,4.47606e-05,4.47606e-05
178,6837.53,1.16708,0.68835,0.8887,0.90319,0.87365,0.94602,0.69642,0.99312,0.44488,0.87803,4.19552e-05,4.19552e-05,4.19552e-05
179,6876.41,1.17552,0.69857,0.90073,0.9037,0.87347,0.94571,0.69661,0.99689,0.43986,0.87839,3.9264e-05,3.9264e-05,3.9264e-05
