epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,3230.23,1.07224,0.78527,0.94513,0.88058,0.89754,0.93712,0.71061,0.85113,0.58196,0.88812,0.000497225,0.000497225,0.000497225
103,3261.61,1.06582,0.76759,0.93693,0.89133,0.87598,0.92713,0.69643,0.86358,0.57098,0.88736,0.000489452,0.000489452,0.000489452
104,3293.02,1.06009,0.76757,0.9434,0.88204,0.89373,0.93919,0.70493,0.8625,0.57413,0.89467,0.000481682,0.000481682,0.000481682
105,3324.47,1.05923,0.75624,0.94032,0.88078,0.90032,0.94101,0.70874,0.85417,0.56593,0.88948,0.000473919,0.000473919,0.000473919
106,3355.82,1.06562,0.76928,0.94732,0.85841,0.9198,0.93777,0.70515,0.86204,0.56567,0.89116,0.000466163,0.000466163,0.000466163
107,3387.22,1.05199,0.75377,0.93956,0.88813,0.90777,0.94144,0.70621,0.85385,0.56123,0.8887,0.000458416,0.000458416,0.000458416
108,3418.9,1.05627,0.74919,0.93548,0.84806,0.8985,0.93496,0.69967,0.85512,0.56818,0.88992,0.000450682,0.000450682,0.000450682
109,3450.48,1.05521,0.74835,0.93626,0.88832,0.89423,0.93826,0.71465,0.83619,0.57147,0.88309,0.00044296,0.00044296,0.00044296
110,3482.01,1.0492,0.75817,0.94002,0.88782,0.89326,0.93943,0.70665,0.85328,0.5684,0.88746,0.000435254,0.000435254,0.000435254
111,3513.46,1.06312,0.74838,0.93342,0.89435,0.90913,0.94453,0.71301,0.85295,0.5502,0.88528,0.000427565,0.000427565,0.000427565
112,3544.99,1.04067,0.73529,0.93696,0.89375,0.88649,0.93924,0.71332,0.85164,0.56219,0.88369,0.000419895,0.000419895,0.000419895
113,3576.41,1.04189,0.73802,0.92698,0.89002,0.90051,0.93787,0.70558,0.85284,0.553,0.88438,0.000412246,0.000412246,0.000412246
114,3607.85,1.0416,0.73743,0.93129,0.8613,0.91194,0.94131,0.71666,0.83254,0.54819,0.88039,0.00040462,0.00040462,0.00040462
115,3639.5,1.03523,0.74399,0.93177,0.91267,0.88294,0.9428,0.71691,0.83637,0.54353,0.88122,0.000397019,0.000397019,0.000397019
116,3671.03,1.02956,0.72209,0.9307,0.89536,0.91358,0.9454,0.72047,0.85561,0.54212,0.88683,0.000389445,0.000389445,0.000389445
117,3702.65,1.0407,0.73268,0.93212,0.91652,0.86687,0.94332,0.71301,0.84055,0.54321,0.88418,0.000381899,0.000381899,0.000381899
118,3734.3,1.01162,0.71455,0.92732,0.86057,0.91922,0.94277,0.70383,0.84728,0.54246,0.88402,0.000374383,0.000374383,0.000374383
119,3765.9,1.0473,0.72678,0.92911,0.91054,0.88902,0.9443,0.71256,0.8447,0.53926,0.88607,0.000366899,0.000366899,0.000366899
120,3797.49,1.01672,0.71937,0.92565,0.90474,0.88936,0.92869,0.69783,0.84349,0.55405,0.88447,0.00035945,0.00035945,0.00035945
121,3828.97,1.02069,0.72422,0.92946,0.90261,0.88277,0.93933,0.70851,0.8361,0.53689,0.88276,0.000352037,0.000352037,0.000352037
122,3860.67,1.00886,0.7061,0.92269,0.88742,0.90053,0.93739,0.70507,0.83744,0.5456,0.88219,0.000344661,0.000344661,0.000344661
123,3892.28,1.01081,0.69031,0.9211,0.88485,0.91474,0.9433,0.71226,0.82493,0.5286,0.88005,0.000337325,0.000337325,0.000337325
124,3923.91,1.00868,0.69511,0.92354,0.9143,0.89,0.94591,0.72176,0.8258,0.53312,0.88115,0.00033003,0.00033003,0.00033003
125,3955.66,1.01118,0.69131,0.92247,0.88552,0.91032,0.94545,0.7191,0.83071,0.53261,0.88304,0.000322778,0.000322778,0.000322778
126,3987.21,0.98726,0.68591,0.91644,0.89243,0.90485,0.94256,0.71649,0.83428,0.53397,0.87902,0.000315572,0.000315572,0.000315572
127,4018.93,0.99681,0.6931,0.92306,0.90927,0.89032,0.94132,0.72219,0.83047,0.54245,0.87994,0.000308412,0.000308412,0.000308412
128,4050.57,1.006,0.68878,0.92353,0.88947,0.90965,0.94093,0.71074,0.84324,0.54698,0.88197,0.0003013,0.0003013,0.0003013
129,4082.15,1.01211,0.6943,0.92465,0.90157,0.88509,0.93822,0.71134,0.83575,0.53553,0.88192,0.000294239,0.000294239,0.000294239
130,4113.8,0.99051,0.67525,0.91733,0.91619,0.87551,0.94182,0.71646,0.8328,0.52663,0.8817,0.00028723,0.00028723,0.00028723
131,4145.34,0.97469,0.6714,0.91561,0.90819,0.89415,0.94676,0.72263,0.82764,0.52174,0.87873,0.000280275,0.000280275,0.000280275
132,4177.08,0.99816,0.68554,0.92484,0.90354,0.86782,0.94004,0.71334,0.82792,0.52548,0.8782,0.000273375,0.000273375,0.000273375
133,4208.67,0.99003,0.69591,0.919,0.88852,0.91239,0.9416,0.71806,0.82448,0.52864,0.87942,0.000266532,0.000266532,0.000266532
134,4240.36,1.00968,0.68898,0.92092,0.90998,0.89815,0.9438,0.71804,0.8277,0.52651,0.87907,0.000259748,0.000259748,0.000259748
135,4271.95,0.97563,0.67372,0.91595,0.89219,0.9148,0.94368,0.71984,0.82328,0.52054,0.87766,0.000253024,0.000253024,0.000253024
136,4303.56,0.99424,0.67014,0.91562,0.87765,0.91969,0.9435,0.71474,0.82304,0.51951,0.87786,0.000246363,0.000246363,0.000246363
137,4335.12,0.99328,0.6754,0.92376,0.9029,0.90277,0.94366,0.71706,0.83087,0.51765,0.87916,0.000239766,0.000239766,0.000239766
138,4366.74,0.97108,0.66712,0.90961,0.90391,0.90418,0.94381,0.71853,0.82963,0.52247,0.87888,0.000233234,0.000233234,0.000233234
139,4398.4,0.97318,0.67026,0.91135,0.91403,0.9154,0.94838,0.71961,0.81871,0.51338,0.87848,0.000226769,0.000226769,0.000226769
140,4429.92,0.96437,0.65111,0.91132,0.90114,0.90651,0.94486,0.7255,0.81735,0.51755,0.87676,0.000220372,0.000220372,0.000220372
141,4461.54,0.96861,0.66293,0.91338,0.91635,0.88506,0.94464,0.72346,0.82347,0.51507,0.87854,0.000214046,0.000214046,0.000214046
142,4493.16,0.95341,0.65244,0.90724,0.90985,0.90333,0.94464,0.72592,0.8126,0.51454,0.87686,0.000207792,0.000207792,0.000207792
143,4524.83,0.98392,0.66073,0.9192,0.9106,0.90122,0.94698,0.72615,0.81591,0.51379,0.87793,0.000201611,0.000201611,0.000201611
144,4556.42,0.96677,0.64107,0.90894,0.88945,0.92341,0.94417,0.72572,0.81621,0.51394,0.87741,0.000195505,0.000195505,0.000195505
145,4587.86,0.9708,0.66142,0.91624,0.88877,0.91509,0.94667,0.72705,0.8205,0.50711,0.87911,0.000189475,0.000189475,0.000189475
